,GICS,TOPIX,Turnover,advisor,code,currencyCode,sector,side,strategy,firstTradeDate
2014/12/31,Industrials,Land Transportation,65595600,HA,9024,JPY,Tail,S,Railways,2014-09-02
2014/12/31,Industrials,Land Transportation,1987195550,AP,9064,JPY,Tail,S,Trucking,2014-10-31
2014/12/31,Industrials,Land Transportation,326370350,AP,9064,JPY,Tail,S,Trucking,2014-10-31
2014/12/31,Industrials,Land Transportation,88117600,AP,9064,JPY,Tail,S,Trucking,2014-10-31
2014/12/31,Industrials,Marine Transportation,1357740000,AP,9101,JPY,CM,L,Shipping,2014-11-26
2014/12/31,Industrials,Marine Transportation,223668000,AP,9101,JPY,CM,L,Shipping,2014-11-26
2014/12/31,Industrials,Marine Transportation,58482000,AP,9101,JPY,CM,L,Shipping,2014-11-26
2014/12/31,Industrials,Marine Transportation,2052403000,AP,9104,JPY,CM,S,Shipping,2014-12-16
2014/12/31,Industrials,Marine Transportation,325613000,AP,9104,JPY,CM,S,Shipping,2014-12-16
2014/12/31,Industrials,Marine Transportation,85083000,AP,9104,JPY,CM,S,Shipping,2014-12-16
2014/12/31,Industrials,Marine Transportation,1376700000,AP,9107,JPY,CH,L,Shipping,2014-08-04
2014/12/31,Industrials,Marine Transportation,236925000,AP,9107,JPY,CH,L,Shipping,2014-08-04
2014/12/31,Industrials,Marine Transportation,67600000,AP,9107,JPY,CH,L,Shipping,2014-08-04
2014/12/31,Industrials,Air Transportation,86400000,AP,9201,JPY,Tail,L,Airlines,2014-10-31
2014/12/31,Industrials,Air Transportation,2104200000,AP,9201,JPY,Tail,L,Airlines,2014-10-31
2014/12/31,Industrials,Air Transportation,336600000,AP,9201,JPY,Tail,L,Airlines,2014-10-31
2014/12/31,Industrials,Air Transportation,55071200,Adv,9202,JPY,Tail,L,Airlines,2014-12-02
2014/12/31,Industrials,Air Transportation,1335775900,Adv,9202,JPY,Tail,L,Airlines,2014-12-02
2014/12/31,Industrials,Air Transportation,211305800,Adv,9202,JPY,Tail,L,Airlines,2014-12-02
2014/12/31,Industrials,Air Transportation,216416700,AP,9204,JPY,Tail,S,Airlines,2014-12-10
2014/12/31,Industrials,Air Transportation,8957700,AP,9204,JPY,Tail,S,Airlines,2014-12-10
2014/12/31,Industrials,Air Transportation,34365600,AP,9204,JPY,Tail,S,Airlines,2014-12-10
2014/12/31,Telecommunication Services,Information  and  Communication,27496000,TT,9424,JPY,Tail,S,MVNO,2014-10-10
2014/12/31,Telecommunication Services,Information  and  Communication,625688000,TT,9424,JPY,Tail,S,MVNO,2014-10-10
2014/12/31,Telecommunication Services,Information  and  Communication,101864000,TT,9424,JPY,Tail,S,MVNO,2014-10-10
2014/12/31,Telecommunication Services,Information  and  Communication,54222700,TT,9433,JPY,TailRR,S,Telecom,2014-12-19
2014/12/31,Telecommunication Services,Information  and  Communication,1305927000,TT,9433,JPY,TailRR,S,Telecom,2014-12-19
2014/12/31,Telecommunication Services,Information  and  Communication,207726400,TT,9433,JPY,TailRR,S,Telecom,2014-12-19
2014/12/31,Consumer Discretionary,Information  and  Communication,1060704000,TT,9468,JPY,Tail,L,Gamesoft,2014-12-18
2014/12/31,Consumer Discretionary,Information  and  Communication,42481500,TT,9468,JPY,Tail,L,Gamesoft,2014-12-18
2014/12/31,Consumer Discretionary,Information  and  Communication,164973000,TT,9468,JPY,Tail,L,Gamesoft,2014-12-18
2014/12/31,Consumer Discretionary,Services,672792000,HA,9616,JPY,Tail,L,Tourist,2014-06-02
